,Date,Value (USD)
345,2005-04-28,1297.0938
346,2005-04-29,1293.4017
347,2005-05-02,1295.7575
348,2005-05-03,1297.5220
349,2005-05-04,1304.6444
350,2005-05-05,1305.1859
351,2005-05-06,1306.0317
352,2005-05-09,1307.8460
353,2005-05-10,1308.1927
354,2005-05-11,1302.9050
355,2005-05-12,1296.4917
356,2005-05-13,1287.2907
357,2005-05-16,1281.9358
358,2005-05-17,1286.1632
359,2005-05-18,1290.5541
360,2005-05-19,1292.2795
361,2005-05-20,1286.0339
362,2005-05-23,1292.4488
363,2005-05-24,1290.1844
364,2005-05-25,1287.5529
365,2005-05-26,1284.8955
366,2005-05-27,1295.9135
367,2005-05-30,1294.4992
368,2005-05-31,1296.6128
369,2005-06-01,1298.7050
370,2005-06-02,1301.6667
371,2005-06-03,1301.2571
372,2005-06-06,1305.5149
373,2005-06-07,1306.5963
374,2005-06-08,1301.7931
375,2005-06-09,1296.8423
376,2005-06-10,1301.2034
377,2005-06-13,1297.1884
378,2005-06-14,1300.7076
379,2005-06-15,1316.1729
380,2005-06-16,1315.3398
381,2005-06-17,1328.3356
382,2005-06-20,1320.0660
383,2005-06-21,1323.1657
384,2005-06-22,1318.8598
385,2005-06-23,1313.0284
386,2005-06-24,1318.5552
387,2005-06-27,1323.1569
388,2005-06-28,1315.9045
389,2005-06-29,1314.9553
390,2005-06-30,1313.4222
391,2005-07-01,1298.1251
392,2005-07-04,1293.3374
393,2005-07-05,1294.8113
394,2005-07-06,1292.7313
395,2005-07-07,1292.7300
396,2005-07-08,1292.1191
397,2005-07-11,1303.5664
398,2005-07-12,1318.3229
399,2005-07-13,1303.4547
400,2005-07-14,1306.6137
401,2005-07-15,1303.9731
402,2005-07-18,1307.1358
403,2005-07-19,1298.6549
404,2005-07-20,1305.0683
405,2005-07-21,1318.9537
406,2005-07-22,1308.0934
407,2005-07-25,1311.4548
408,2005-07-26,1305.2329
409,2005-07-27,1309.2892
410,2005-07-28,1317.8135
411,2005-07-29,1323.5211
412,2005-08-01,1330.5942
413,2005-08-02,1333.0096
414,2005-08-03,1340.6230
415,2005-08-04,1343.2672
416,2005-08-05,1341.6865
417,2005-08-08,1343.9148
418,2005-08-09,1344.3991
419,2005-08-10,1348.7426
420,2005-08-11,1359.7652
421,2005-08-12,1360.8361
422,2005-08-15,1356.6448
423,2005-08-16,1355.6992
424,2005-08-17,1349.0006
425,2005-08-18,1342.0245
426,2005-08-19,1342.3379
427,2005-08-22,1348.8301
428,2005-08-23,1349.4720
429,2005-08-24,1352.8824
430,2005-08-25,1356.5934
431,2005-08-26,1353.8310
432,2005-08-29,1349.6197
433,2005-08-30,1347.4158
434,2005-08-31,1358.4764
435,2005-09-01,1372.1823
436,2005-09-02,1370.8957
437,2005-09-05,1372.4922
438,2005-09-06,1370.7044
439,2005-09-07,1368.7550
440,2005-09-08,1371.2317
441,2005-09-09,1373.4477
442,2005-09-12,1364.8206
443,2005-09-13,1365.8634
444,2005-09-14,1367.8136
445,2005-09-15,1362.5736
446,2005-09-16,1362.8547
447,2005-09-19,1359.9146
448,2005-09-20,1358.2423
449,2005-09-21,1358.2423
450,2005-09-22,1357.1299
451,2005-09-23,1348.0525
452,2005-09-26,1349.0351
453,2005-09-27,1342.4839
454,2005-09-28,1349.5107
455,2005-09-29,1345.9794
456,2005-09-30,1349.2922
457,2005-10-03,1341.8614
458,2005-10-04,1343.2657
459,2005-10-05,1349.9842
460,2005-10-06,1359.3193
461,2005-10-07,1356.6899
462,2005-10-10,1352.8933
463,2005-10-11,1348.0448
464,2005-10-12,1352.2632
465,2005-10-13,1348.9762
466,2005-10-14,1354.2882
467,2005-10-17,1350.4164
468,2005-10-18,1347.3721
469,2005-10-19,1351.5667
470,2005-10-20,1357.3475
471,2005-10-21,1351.5920
472,2005-10-24,1353.9519
473,2005-10-25,1364.9593
474,2005-10-26,1362.1780
475,2005-10-27,1368.2172
476,2005-10-28,1362.0718
477,2005-10-31,1356.0639
478,2005-11-01,1357.9999
479,2005-11-02,1360.8230
480,2005-11-03,1354.8981
481,2005-11-04,1343.7788
482,2005-11-07,1341.0247
483,2005-11-08,1339.7862
484,2005-11-09,1341.8138
485,2005-11-10,1335.8731
486,2005-11-11,1339.8493
487,2005-11-14,1335.2683
488,2005-11-15,1337.8176
489,2005-11-16,1331.7959
490,2005-11-17,1335.3290
491,2005-11-18,1335.0139
492,2005-11-21,1335.3014
493,2005-11-22,1340.0811
494,2005-11-23,1340.2991
495,2005-11-24,1339.5966
496,2005-11-25,1334.8757
497,2005-11-28,1345.0994
498,2005-11-29,1337.5511
499,2005-11-30,1348.4169
500,2005-12-01,1347.0846
501,2005-12-02,1346.6430
502,2005-12-05,1354.0554
503,2005-12-06,1355.1990
504,2005-12-07,1348.2325
505,2005-12-08,1359.2267
506,2005-12-09,1359.6536
507,2005-12-12,1372.6845
508,2005-12-13,1371.0846
509,2005-12-14,1374.1948
510,2005-12-15,1371.1068
511,2005-12-16,1373.4905
512,2005-12-19,1369.8313
513,2005-12-20,1361.0068
514,2005-12-21,1356.9362
515,2005-12-22,1357.6644
516,2005-12-23,1357.3240
517,2005-12-26,1354.8301
518,2005-12-27,1354.5488
519,2005-12-28,1354.7838
520,2005-12-29,1357.1102
521,2005-12-30,1355.3944
522,2006-01-02,1353.8079
523,2006-01-03,1376.0700
524,2006-01-04,1384.3012
525,2006-01-05,1381.4392
526,2006-01-06,1385.9219
527,2006-01-09,1381.7964
528,2006-01-10,1382.5266
529,2006-01-11,1387.3360
530,2006-01-12,1381.4522
531,2006-01-13,1388.9961
532,2006-01-16,1386.6665
533,2006-01-17,1385.3786
534,2006-01-18,1381.4107
535,2006-01-19,1382.4777
536,2006-01-20,1388.2316
537,2006-01-23,1400.5517
538,2006-01-24,1397.7703
539,2006-01-25,1397.9402
540,2006-01-26,1396.5506
541,2006-01-27,1388.4922
542,2006-01-30,1387.8956
543,2006-01-31,1394.8646
544,2006-02-01,1389.2549
